BusinessEntityID,NationalIDNumber,OrganizationLevel,JobTitle,BirthDate,Gender,HireDate
1,295847284,NULL,Chief Executive Officer,29/01/1969,M,14/01/2009
2,245797967,1,Vice President of Engineering,01/08/1971,F,31/01/2008
3,509647174,2,Engineering Manager,12/11/1974,M,11/11/2007
4,112457891,3,Senior Tool Designer,23/12/1974,M,05/12/2007
5,695256908,3,Design Engineer,27/09/1952,F,06/01/2008
6,998320692,3,Design Engineer,11/03/1959,M,24/01/2008
7,134969118,3,Research and Development Manager,24/02/1987,M,08/02/2009
8,811994146,4,Research and Development Engineer,05/06/1986,F,29/12/2008
9,658797903,4,Research and Development Engineer,21/01/1979,F,16/01/2009
10,879342154,4,Research and Development Manager,30/11/1984,M,03/05/2009
11,974026903,3,Senior Tool Designer,17/01/1978,M,05/12/2010
12,480168528,4,Tool Designer,29/07/1959,M,11/12/2007
13,486228782,4,Tool Designer,28/05/1989,F,23/12/2010
14,42487730,3,Senior Design Engineer,16/06/1979,M,30/12/2010
15,56920285,3,Design Engineer,02/05/1961,F,18/01/2011
16,24756624,1,Marketing Manager,19/03/1975,M,20/12/2007
17,253022876,2,Marketing Assistant,03/05/1987,M,26/01/2007
18,222969461,2,Marketing Specialist,06/03/1978,M,07/02/2011
19,52541318,2,Marketing Assistant,29/01/1978,F,14/02/2011
20,323403273,2,Marketing Assistant,17/03/1975,F,07/01/2011
21,243322160,2,Marketing Specialist,04/02/1986,M,02/03/2009
22,95958330,2,Marketing Specialist,21/05/1987,M,12/12/2008
23,767955365,2,Marketing Specialist,13/09/1962,F,12/01/2009
24,72636981,2,Marketing Specialist,18/06/1979,F,18/01/2009
25,519899904,1,Vice President of Production,07/01/1983,M,03/02/2009
26,277173473,2,Production Control Manager,03/11/1982,M,01/12/2008
27,446466105,3,Production Supervisor - WC60,08/10/1956,F,27/02/2008
28,14417807,4,Production Technician - WC60,13/03/1988,M,30/06/2006
29,948320468,4,Production Technician - WC60,25/09/1979,M,23/01/2009
30,410742000,4,Production Technician - WC60,28/09/1989,F,29/01/2009
31,750246141,4,Production Technician - WC60,20/05/1986,F,04/01/2009
32,330211482,4,Production Technician - WC60,10/07/1977,F,29/12/2008
33,801758002,4,Production Technician - WC60,26/12/1976,M,17/12/2008
34,754372876,4,Production Technician - WC60,10/06/1987,F,16/02/2009
35,999440576,4,Production Technician - WC60,10/01/1977,M,08/02/2009
36,788456780,4,Production Technician - WC60,31/07/1984,M,10/02/2009
37,442121106,4,Production Technician - WC60,07/08/1986,M,07/03/2009
38,6298838,4,Production Technician - WC60,14/12/1966,F,16/01/2010
39,461786517,4,Production Technician - WC60,11/09/1971,M,05/02/2010
40,309738752,3,Production Supervisor - WC60,16/01/1956,F,26/12/2007
41,458159238,4,Production Technician - WC60,27/08/1973,M,21/01/2009
42,339712426,4,Production Technician - WC60,25/07/1984,M,27/12/2008
43,693325305,4,Production Technician - WC60,19/11/1988,F,02/01/2009
44,276751903,4,Production Technician - WC60,17/05/1990,M,08/12/2008
45,500412746,4,Production Technician - WC60,10/01/1986,M,26/02/2009
46,66073987,4,Production Technician - WC60,10/02/1976,M,08/02/2009
47,33237992,3,Production Supervisor - WC10,06/09/1988,M,22/02/2009
48,690627818,4,Production Technician - WC10,04/06/1956,F,06/01/2008
49,912265825,4,Production Technician - WC10,26/03/1956,M,07/01/2008
50,844973625,4,Production Technician - WC10,30/08/1956,M,02/02/2008
51,132674823,4,Production Technician - WC10,11/07/1956,M,20/02/2008
52,565090917,4,Production Technician - WC10,04/04/1956,F,10/03/2008
53,9659517,4,Production Technician - WC10,29/03/1956,F,28/03/2008
54,109272464,4,Production Technician - WC10,10/09/1986,F,01/01/2010
55,233069302,3,Production Supervisor - WC50,01/04/1956,M,08/02/2008
56,652535724,4,Production Technician - WC50,06/07/1988,F,05/02/2009
57,10708100,4,Production Technician - WC50,24/07/1971,M,23/02/2009
58,571658797,4,Production Technician - WC50,30/05/1986,M,05/12/2008
59,843479922,4,Production Technician - WC50,16/08/1979,M,24/12/2008
60,827686041,4,Production Technician - WC50,03/02/1977,M,11/01/2009
61,92096924,4,Production Technician - WC50,09/08/1989,F,18/01/2009
62,494170342,3,Production Supervisor - WC60,07/08/1956,M,17/03/2008
63,414476027,4,Production Technician - WC60,30/01/1955,M,29/01/2010
64,582347317,4,Production Technician - WC60,05/09/1973,M,23/02/2010
65,8066363,4,Production Technician - WC60,28/04/1970,M,23/02/2010
66,834186596,4,Production Technician - WC60,07/03/1970,M,22/12/2009
67,63179277,4,Production Technician - WC60,11/02/1976,M,05/03/2009
68,537092325,4,Production Technician - WC60,02/09/1971,M,03/12/2009
69,752513276,4,Production Technician - WC60,06/04/1991,M,15/02/2009
70,36151748,4,Production Technician - WC60,29/12/1984,M,15/12/2008
71,578935259,3,Production Supervisor - WC30,29/01/1989,M,15/02/2009
72,443968955,4,Production Technician - WC30,14/05/1977,M,01/12/2008
73,138280935,4,Production Technician - WC30,19/10/1983,F,19/12/2008
74,420023788,4,Production Technician - WC30,06/11/1989,M,07/01/2009
75,363996959,4,Production Technician - WC30,27/06/1982,M,26/01/2009
76,227319668,4,Production Technician - WC30,17/10/1988,F,12/02/2009
77,301435199,4,Production Technician - WC30,13/05/1983,F,03/03/2009
78,370989364,3,Production Supervisor - WC40,27/08/1987,M,15/12/2008
79,697712387,4,Production Technician - WC40,08/12/1966,M,24/01/2010
80,943170460,4,Production Technician - WC40,03/12/1970,M,17/01/2010
81,413787783,4,Production Technician - WC40,09/03/1971,M,29/12/2009
82,58791499,4,Production Technician - WC40,29/08/1973,M,03/03/2010
83,988315686,4,Production Technician - WC40,23/12/1973,M,12/02/2010
84,947029962,4,Production Technician - WC40,02/03/1952,M,05/02/2010
85,1662732,4,Production Technician - WC40,23/12/1970,M,11/12/2009
86,769680433,4,Production Technician - WC40,13/06/1972,M,05/01/2009
87,7201901,3,Production Supervisor - WC10,11/04/1984,M,22/12/2008
88,294148271,4,Production Technician - WC10,17/12/1966,F,18/12/2009
89,90888098,4,Production Technician - WC10,10/09/1986,M,01/02/2010
90,82638150,4,Production Technician - WC10,07/09/1986,F,20/02/2010
91,390124815,4,Production Technician - WC10,13/09/1986,F,12/01/2010
92,826454897,4,Production Technician - WC10,01/10/1986,M,10/03/2010
93,778552911,3,Production Supervisor - WC50,28/04/1980,M,27/12/2008
94,718299860,4,Production Technician - WC50,25/11/1972,M,12/12/2008
95,674171828,4,Production Technician - WC50,08/09/1986,M,19/12/2008
96,912141525,4,Production Technician - WC50,25/01/1990,F,02/03/2009
97,370581729,4,Production Technician - WC50,21/03/1986,M,10/02/2009
98,152085091,4,Production Technician - WC50,26/06/1978,M,11/02/2009
99,431859843,4,Production Technician - WC50,29/03/1979,M,06/01/2009
100,204035155,4,Production Technician - WC50,24/01/1973,M,12/01/2009
101,153288994,4,Production Technician - WC50,30/08/1971,M,25/01/2009
102,360868122,3,Production Supervisor - WC10,26/10/1983,M,03/12/2008
103,455563743,4,Production Technician - WC10,22/09/1986,M,06/12/2009
104,717889520,4,Production Technician - WC10,19/09/1986,F,25/12/2009
105,801365500,4,Production Technician - WC10,19/09/1986,M,25/12/2009
106,561196580,4,Production Technician - WC10,28/09/1986,M,27/02/2010
107,393421437,4,Production Technician - WC10,01/10/1986,M,08/02/2010
108,630184120,3,Production Supervisor - WC50,05/02/1989,M,08/12/2008
109,113695504,4,Production Technician - WC50,26/01/1978,F,07/12/2008
110,857651804,4,Production Technician - WC50,06/07/1979,M,14/12/2008
111,415823523,4,Production Technician - WC50,25/02/1978,M,17/12/2008
112,981597097,4,Production Technician - WC50,31/05/1978,M,01/01/2009
113,54759846,4,Production Technician - WC50,17/07/1987,F,25/12/2008
114,342607223,4,Production Technician - WC50,07/05/1978,M,13/01/2009
115,563680513,4,Production Technician - WC50,31/05/1991,F,20/01/2009
116,398737566,4,Production Technician - WC50,03/05/1974,M,31/01/2009
117,599942664,4,Production Technician - WC50,04/08/1990,M,18/02/2009
118,222400012,4,Production Technician - WC50,13/06/1971,M,13/02/2009
119,334834274,4,Production Technician - WC50,15/06/1989,M,25/02/2009
120,211789056,4,Production Technician - WC50,06/06/1987,F,04/03/2009
121,521265716,3,Shipping and Receiving Supervisor,09/09/1972,M,02/01/2009
122,586486572,4,Stocker,17/02/1978,F,07/12/2008
123,337752649,4,Shipping and Receiving Clerk,18/03/1977,M,07/12/2008
124,420776180,4,Stocker,30/04/1984,F,26/12/2008
125,584205124,4,Shipping and Receiving Clerk,11/11/1973,M,20/01/2009
126,652779496,4,Stocker,04/05/1985,M,26/02/2009
127,750905084,3,Production Supervisor - WC40,02/07/1983,M,03/01/2009
128,384162788,4,Production Technician - WC40,13/11/1980,M,04/12/2008
129,502058701,4,Production Technician - WC40,16/05/1988,M,22/12/2008
130,578953538,4,Production Technician - WC40,04/08/1973,M,13/02/2009
131,273260055,4,Production Technician - WC40,07/10/1990,M,15/02/2009
132,1300049,4,Production Technician - WC40,09/04/1986,F,22/02/2009
133,830150469,4,Production Technician - WC40,04/01/1991,M,10/01/2009
134,45615666,3,Production Supervisor - WC20,19/01/1985,M,14/01/2009
135,964089218,4,Production Technician - WC20,03/01/1982,M,04/12/2008
136,701156975,4,Production Technician - WC20,12/11/1970,M,11/12/2009
137,63761469,4,Production Technician - WC20,05/09/1974,F,23/02/2009
